time,ph,tds,turbidity,temperature,condition,ph_change,tds_change,turbidity_change,temperature_change,ph_rolling,tds_rolling,turbidity_rolling,temperature_rolling,risk_score,risk_status,largest_change,explanation,sensor_fault_flag,final_decision,future_high_risk
4,7.060275188628384,394.7786797633631,4.559088056260563,27.43841907432233,DETERIORATING,-0.0031110469363637,17.741921095829866,-0.2655503669685464,0.1208377500563067,7.087215883385622,389.04377446078473,4.325643930226724,27.21123575367834,2.685994767261068,SAFE,tds_change,Sensor readings are relatively stable.,False,SAFE,False
5,7.062041393826568,392.721824625061,4.682473352963107,26.747281964572217,DETERIORATING,0.0017662051981837,-2.056855138302069,0.1233852967025432,-0.6911371097501124,7.070241324091176,388.2296863379905,4.4421026803956805,27.24444502520733,1.1156988524523288,SAFE,tds_change,Sensor readings are relatively stable.,False,SAFE,False
6,7.084106688581685,400.3423186403328,4.218406649754596,26.49127573330326,DETERIORATING,0.0220652947551176,7.620494015271788,-0.4640667032085108,-0.2560062312689553,7.073123109089687,389.7590292270664,4.528488896926641,27.097767951665805,1.8712398499470215,SAFE,tds_change,Sensor readings are relatively stable.,False,SAFE,False
7,7.044562568916826,398.8220616201836,4.379679265959242,27.670533460782195,DETERIORATING,-0.0395441196648596,-1.520257020149188,0.1612726162046458,1.1792577274789338,7.062874415103641,392.7403286632948,4.532857149633324,27.13301831144921,4.448120640496155,SAFE,tds_change,Sensor readings are relatively stable.,False,SAFE,False
8,7.126787806278676,405.3946325838321,3.917915782560245,26.950928064463145,DETERIORATING,0.0822252373618503,6.572570963648502,-0.4617634833989967,-0.7196053963190501,7.075554729246427,398.4119034465545,4.35151262149955,27.059687659488628,2.427622771272021,SAFE,tds_change,Sensor readings are relatively stable.,False,SAFE,False
9,7.014769634889024,387.9771774612732,6.569661394549551,26.98966679341798,DETERIORATING,-0.1120181713896517,-17.41745512255892,2.6517456119893064,0.0387387289548364,7.0664536184985565,397.0516029861366,4.753627289157349,26.96993720330776,4.315379128183833,SAFE,tds_change,Sensor readings are relatively stable.,False,SAFE,False
10,7.045656417791932,411.8087287876119,4.304909411686972,27.631277656739623,DETERIORATING,0.0308867829029075,23.83155132633874,-2.2647519828625797,0.6416108633216417,7.063176623291629,400.8689838186468,4.6781145009021206,27.14673634174124,4.516202962951002,SAFE,tds_change,Sensor readings are relatively stable.,False,SAFE,False
11,7.028513447086291,399.9711952563088,4.8756758417632735,27.33249200376026,DETERIORATING,-0.0171429707056409,-11.837533531303109,0.5707664300763016,-0.2987856529793617,7.05205797499255,400.7947591418419,4.809568339303857,27.314979595832643,1.2838513514088157,SAFE,tds_change,Sensor readings are relatively stable.,False,SAFE,False
12,7.118348894217686,424.1031304715032,4.9852741875446425,27.302355108832643,DETERIORATING,0.0898354471313949,24.131935215194403,0.1095983457813689,-0.0301368949276188,7.066815240052722,405.8509729121059,4.930687323620937,27.24134392544273,3.870185749152893,SAFE,tds_change,Sensor readings are relatively stable.,False,SAFE,False
13,7.051327738825578,392.5297461829252,6.405939501555553,27.99600093796043,DETERIORATING,-0.0670211553921076,-31.57338428857804,1.4206653140109102,0.6936458291277887,7.0517232265621015,403.27799563192445,5.428292067419998,27.450358500142187,4.9818515407834045,SAFE,tds_change,Sensor readings are relatively stable.,False,SAFE,False
